url,enrichment_status,needs_manual_review,notes
/zapier/,pending,false,""
/zapier/google-sheets/,needs_review,true,"Template-swapped sentiment detected in several phrases and structures.; Use of 'Workspace Builder' in the title/H1 suffix.; Product casing is inconsistent and not aligned with branding.; Missing required sections on Zapier and AI trust."
/zapier/gmail/,needs_review,true,"Uses 'Zapier' incorrectly in title/H1. Should use proper casing.; Missing required sections on trust for Zapier/AI.; Repetitive phrases in problem and summary sections."
/zapier/slack/,needs_review,true,"Missing required Zapier/AI trust sections.; Template-like content in several sections.; Use of 'Slack Zapier workflows' in the title seems generic."
/zapier/airtable/,needs_review,true,"The H1 title includes 'Airtable Zapier workflows' which could indicate a template-like usage.; Focusing on 'Zapier' rather than 'Airtable' alone may lead to redundancy.; The commercial explanation lacks depth to clarify unique value propositions effectively."
/zapier/hubspot/,needs_review,true,"Feels somewhat template-swapped.; Missing required Zapier/AI trust sections."
/zapier/mailchimp/,needs_review,true,"Content feels somewhat template-swapped.; Missing required sections related to Zapier/AI trust.; Product casing should be consistent with GetForked branding."
/zapier/google-calendar/,needs_review,true,"Feels template-swapped.; Missing required Zapier/AI trust sections."
/zapier/trello/,needs_review,true,"The title does not match standard phrasing and lacks unique branding.; The content feels somewhat template-like and lacks personalization.; Missing required sections about Zapier/AI trust.; Uses a suffix related to Builders in the H1 title, which is discouraged."
/zapier/facebook-lead-ads/,needs_review,true,"Title/H1 uses 'Zapier' which is considered a template swap.; Missing required sections for Zapier/AI trust."
/zapier/asana/,needs_review,true,"The H1 contains 'Zapier' as a suffix, which should be avoided.; The product casing for 'GetForked' is inconsistent.; Missing required sections about Zapier and AI trust."
/zapier/basecamp/,needs_review,true,"Content feels template-swapped.; Incorrect product casing in title and headings.; Fails to incorporate a Zapier/AI trust section."
/zapier/google-drive/,needs_review,true,"Template-like structure is evident.; Builder-related terminology is present when it should not be.; Missing required segments for Zapier/AI trust."
/zapier/salesforce/,needs_review,true,"Feels somewhat template-swapped.; Missing critical Zapier/AI trust sections.; Uses 'Zapier' in the title/H1 without proper context."
/zapier/kajabi/,needs_review,true,"Title/H1 suffix problem (contains 'workflows' which feels generic); Template-like phrasing noticed in sections; Missing required Zapier/AI trust sections"
/zapier/activecampaign/,needs_review,true,"Template feel: Some sections resemble standard templates.; Title/H1 issue: Uses 'Replace Zapier Workflows for ActiveCampaign' without varying phrasing.; Missing required Zapier/AI trust sections."
/zapier/pipedrive/,needs_review,true,"The title/H1 doesn't clearly differentiate from templates.; Missing required sections regarding Zapier/AI trust.; Use of 'Zapier' in H1 is misleading and not adequately specific."
/zapier/google-forms/,needs_review,true,"The title and H1 could be more unique and less template-like.; Missing Zapier/AI trust sections.; Some content feels repetitive and lacks depth."
/zapier/calendly/,needs_review,true,"The title/H1 feels template-swapped.; Commercial clarity could be improved to avoid sounding generic.; Missing required sections about Zapier/AI trust."
/zapier/typeform/,needs_review,true,"The title/H1 contains a generic phrasing that resembles a template.; Missing required sections regarding Zapier and AI trust.; Product casing for 'GetForked' is inconsistent."
/zapier/microsoft-outlook/,needs_review,true,"Title and H1 structure suggest a template swap: should not contain 'Zapier'.; Missing required sections for Zapier/AI trust.; Improper product casing in some elements."
/zapier/calendar-notion/,needs_review,true,"Title and H1 use the phrase 'Without Zapier,' which is a common template structure.; Missing required sections about Zapier and AI trust.; Product casing and specific terminology do not maintain a consistent standard."
/zapier/calendar-slack/,needs_review,true,"Template-like structure observed in several sections.; Uses 'Zapier' in the title/H1 which may dilute specificity.; Lacks required trust sections for Zapier/AI.; Product casing inconsistencies present."
/zapier/airtable-contacts/,needs_review,true,"Template-swapped language evident in certain sections.; Missing explicit mention of trust in Zapier and AI sections.; Incorrect product casing in headers."
/zapier/airtable-basecamp/,needs_review,true,"Template-swapped feel due to generic phrasing.; Missing required sections on Zapier/AI trust.; Incorrect product casing in title and headings."
/zapier/hubspot-kajabi/,needs_review,true,"Missing required Zapier/AI trust sections.; Content feels somewhat template-swapped.; Incorrect product casing in titles."
/zapier/sheets-outlook/,needs_review,true,"The title/H1 uses 'Without Zapier', which feels like a template phrase.; The mention of 'builders' and 'builder_matching_summary' lacks context and specificity.; It does not include a dedicated section addressing Zapier/AI trust.; The product casing for 'GetForked' should be consistent throughout the text."
/zapier/sheets-slack/,needs_review,true,"Template-like structure observed.; Missing trust sections for Zapier/AI.; Product casing and title do not align with standards."
/zapier/basecamp-slack/,needs_review,true,"Content feels somewhat template-swapped.; Missing required sections for Zapier/AI trust.; Product casing inconsistencies noted."
/zapier/airtable-gmail/,needs_review,true,"Template-like language present, which reduces originality.; Missing required trust sections for Zapier/AI, which could impact user confidence."
/zapier/airtable-wordpress/,needs_review,true,"Template-like content in problem and solution sections.; Lack of required Zapier/AI trust sections."
/zapier/kajabi-shopify/,needs_review,true,"Template-like language and structure; Missing required Zapier/AI trust sections; Use of 'Builders' in a context that could imply a suffix or be confused with titles"
/zapier/gmail-slack/,needs_review,true,"H1 title repeats the same structure as other landing pages.; Missing required Zapier/AI trust sections."
/zapier/airtable-webflow/,needs_review,true,"Tampering with standard terms (missing Zapier mentions); Template-like structure observed; Utilization of 'Builders' in titles; Inconsistent product casing in mentions"
/zapier/asana-sheets/,needs_review,true,"Template appearance; Missing required Zapier/AI trust sections"
/zapier/sheets-ontraport/,needs_review,true,"The title/H1 contains 'without Zapier', which may not clearly convey the unique value proposition of GetForked.; The content lacks specific sections about Zapier and AI trust, which are required.; The elements feel somewhat template-swapped and lack a distinct voice or branding."
/zapier/shopify-square/,needs_review,true,"Repeated use of 'Shopify to Square' phrasing may indicate repetition risk.; Missing required trust section for Zapier/AI.; Potentially feels template-swapped in style and structure."
/zapier/airtable-slack/,needs_review,true,"The title and H1 use 'without Zapier,' which may not align with branding requirements.; The content contains repeated phrases and concepts, increasing the risk of redundancy.; Some sections feel like they could be template-swapped due to generic phrasing."
/zapier/sheets-twilio/,needs_review,true,"Uses a title that suggests a 'template-swap' style.; Lacks a clear section on Zapier/AI trust.; Includes 'GetForked' as a brand mention inappropriately in the H1."
/zapier/airtable-forms/,needs_review,true,"The title and H1 should not include 'Without Zapier' as it feels template-swapped.; Missing Zapier/AI trust sections.; Product casing is inconsistent."
/zapier/salesforce-xero/,needs_review,true,"Uses 'Salesforce to Xero Without Zapier' as both title and H1; lacks differentiation.; Missing required Zapier/AI trust sections.; Some sections feel template-swapped, lacking unique phrasing."
/zapier/sheets-mailchimp/,needs_review,true,"Template-swapped feel; Missing required Zapier trust section; Title/H1 does not maintain product casing"
/zapier/airtable-sheets/,needs_review,true,"Content feels somewhat template-swapped.; Missing required sections specifically regarding Zapier/AI trust.; Casing issue with 'GetForked' not being utilized correctly.; Potential over-reliance on H1 and titles centered around 'Airtable to Google Sheets' without unique differentiation."
/zapier/sheets-trello/,needs_review,true,"The title uses 'Without Zapier' which may imply a less professional tone.; Missing a section discussing Zapier/AI trust elements."
/zapier/sheets-xero/,needs_review,true,"Template-swapped feel; Missing required Zapier/AI trust sections"
/zapier/fb-leads-sheets/,needs_review,true,"The title/H1 lacks uniqueness and presents a template-like feel.; The messaging could be further personalized to eliminate repetition risk.; Missing required sections on Zapier/AI trust components."
/zapier/slack-trello/,needs_review,true,"The title and H1 use 'Without Zapier' which feels like a template.; The product casing is inconsistent with 'GetForked' as a title.; Missing a dedicated section for Zapier/AI trust elements."
/zapier/asana-calendar/,needs_review,true,"The content feels somewhat template-swapped.; It uses 'Asana to Google Calendar Without Zapier' for the title, which lacks specificity.; The product casing is inconsistent, with 'GetForked' not properly highlighted as a brand.; It lacks sections establishing trust in Zapier/AI."
/zapier/monday-slack/,needs_review,true,"Template-like structure and phrasing present.; Title and H1 do not have unique branding.; Lacks required sections discussing Zapier and AI trust."
/zapier/calendly-trello/,needs_review,true,"Template-swapped feel; Title/H1 lacks a distinctive product casing; Missing required Zapier/AI trust sections"
/zapier/kajabi-woocommerce/,needs_review,true,"Template-swapped feel due to generic phrasing.; Missing required sections on Zapier/AI trust.; Product casing inconsistency in title and H1."
